Equipo|Categoria|Presidente|Fundacion|Telefono|Fax|Sitio Web|Email|Campeonatos|Estadio|Capacidad|Direccion
CLUB DEPORTIVO E.FORMATIVO GUAYAQUIL CITY FUTBOL CLUB|PRIMERA - A|SR. MENTOR DAVID COLOMA AVILES| 07/09/2007|593-4-6014001/6014002|593-4-6014001/6014002|www.guayaquilcityfc.com|rrpp@guayaquilcityfc.com|0|Estadio - CHRISTIAN BENITEZ|10152 personas|PARQUE SAMANES, ESTADIO CHISTIAN BENITEZ BETANCOURT.AV. FRANCISCO DE O
CLUB DEPORTIVO ESP.ALTO RENDIMIENTO UNIVERSIDAD CATOLICA DEL ECUADOR|PRIMERA - A|DR. MIGUEL ALMEIDA SUAREZ| 15/05/1963|593-2-3228447| |www.ucatolicaec.com|ucatolic@uio.satnet.net.ec|0|Estadio - OLIMPICO ATAHUALPA|35258 personas|GONZALEZ SUAREZ  N27 317 Y  SAN IGNACIO,ED.DELTA,PISO3
CLUB DEPORTIVO "AMERICA"|PRIMERA - B|ING. GUINO SHURSHE GUERRON VALENZUELA| 01/01/1941|593-2-524847/2563360|593-2-563594| | |0|Estadio - OLIMPICO ATAHUALPA|35258 personas|AVE.AMERICA 429 ENTRE BOYACA Y CARACAS
CLUB DEPORTIVO CLAN JUVENIL|PRIMERA - B|SR. RODRIGO BUENO TAMAYO| 13/02/2009|593-2-2330577|593-2-593-2-2330577| | |0|Estadio - RUMIÑAHUI|7233 personas|CALLE COTOPAXI LOTE 1 Y PULULAHUA
CENTRO DEPORTIVO OLMEDO|PRIMERA - B|ING. MAYRA LUCRECIA ARGUELLO ERAZO| 11/11/1919|593-3-2969902/593-3-2969488|593-3-2969902/593-3-2969488| | |2 |Estadio - FERNANDO GUERRERO GUERRERO|14400 personas|VELOZ Y GARCÍA MORENO, EDIF. CORPORACION FINANCIERA NACIONAL
GUALACEO SPORTING CLUB|PRIMERA - B|ING. FABIAN PATRICIO SERRANO SAQUICELA| 02/04/2004|593-7-2256144| | |guala-sc1@hotmail.com|0|Estadio - GERARDO LEON POZO|3171 personas|VICENTE PEÑA REYES Y AV.JAIME ROLDOS (EDIF.VASQUEZ - TERCER PISO)
FUERZA AMARILLA SPORTING CLUB|PRIMERA - B|SR. FREDY FAVIAN AGUILAR ESPINOZA| 23/09/1998|| | | |0|Estadio - NUEVE DE MAYO|16456 personas|KLEBER FRANCO 1117 Y PAEZ Y JUAN MONTALVO
LIGA DEPORTIVA UNIVERSITARIA DE LOJA|PRIMERA - B|SR. FRANKLIN EDUARDO MOYA ZURITA| 27/05/1988|593-7-2565485/2565059|593-7-2565485/2565059|www.ligadeloja.com|clubligadeloja@hotmail.com|1 |Estadio - REINA DEL CISNE|13359 personas|BOLIVAR # 1092 ENTRE AZUAY MIGUEL RIOFRIO, EDIF. EXCESCIOR 2DO PISO
MANTA FUTBOL CLUB|PRIMERA - B|SR. CRISTHIAN JAVIER PICO ZAMBRANO| 27/07/1998|593-5-2612194|593-5-2612194|www.mantafutbolclub.com|presidencia@mantafutbolclub.com|1 |Estadio - JOCAY|17834 personas|CALLE 16 AV. FLAVIO REYES BLOQUE TUALI
LIGA DEPORTIVA UNIVERSITARIA DE PORTOVIEJO|PRIMERA - B|ING. ROBERTO MANABI RODRIGUEZ GUILLEM| 15/11/1969|593-5-2651700| |www.ldup.com.ec|apoyoldup@hotmail.com|0|Estadio - REALES TAMARINDOS|15691 personas|CALLE SUCRE Y MORALES, ESQUINA. EDIFICIO DÍNAMO, OFICINA 105
CLUB DEPORTIVO MUSHUC RUNA SPORTING CLUB|PRIMERA - B|SR. JOSE MANUEL PILAMUNGA AGUALONGO| 02/01/2003|593-3-2424045|593-3-2424045|www.mushucrunasportingclub.com|mushucrunasc@hotmail.com|0|Estadio - BELLAVISTA|16467 personas|MONTALVO ENTRE 12 DE NOVIEMBRE Y JUAN BENIGNO VELA
ORENSE SPORTING CLUB|PRIMERA - B|SR. DARWIN MIGUEL PALACIOS MARQUEZ| 15/12/2009|593-7-2985216|593-7-2985216|www.orensesportingclub.com|info@orensesportingclub.com|0|Estadio - NUEVE DE MAYO|16456 personas|AV. AUGUSTO VALLE Y CIRCUNVALCION NORTE (UNIORO)
CLUB DEPORTIVO E.FORMATIVO PUERTO QUITO|PRIMERA - B|SR. WILDER FRANCISCO VALENCIA SANCLEMENTE| 12/04/1995|| | | |0|Estadio - LIGA DEPORTIVA CANTONAL DE PUERTO QUITO| personas|CALLE JUAN MONTALVO Y PASAJE 1 A 100 METROS DEL CUERPO DE BOMBEROS
CLUB DEPORTIVO SOCIAL SANTA RITA|PRIMERA - B|ING. NEY LEANDRO MENDOZA OCHOA| 02/03/1983|0994123574|593-7-2941537| |clubsantaritavinces@gmail.com|0|Estadio - 14 DE JUNIO| personas|CALLE BALZAR 211 INTERSECCION VIA LAS FLORES JUANTO AL HOTEL AZUAY
